Rating,CocoaPercentage
3.75,63.0
2.75,70.0
3.0,70.0
3.5,70.0
3.5,70.0
2.75,70.0
3.5,70.0
3.5,70.0
3.75,70.0
4.0,70.0
2.75,70.0
3.0,70.0
3.25,70.0
3.75,70.0
2.75,70.0
3.0,70.0
3.25,70.0
4.0,70.0
3.25,70.0
3.5,70.0
4.0,63.0
3.5,70.0
3.75,63.0
3.75,70.0
3.75,70.0
2.75,60.0
3.25,80.0
3.5,88.0
3.5,72.0
2.75,55.0
3.0,70.0
3.0,70.0
3.75,75.0
2.75,75.0
2.75,75.0
2.75,65.0
2.75,75.0
3.0,75.0
2.5,75.0
2.5,75.0
3.5,70.0
3.5,70.0
3.5,70.0
3.5,70.0
2.75,60.0
3.0,60.0
2.5,60.0
2.5,60.0
2.75,60.0
2.5,60.0
3.0,60.0
3.25,80.0
3.0,60.0
3.25,60.0
4.0,70.0
3.75,70.0
4.0,70.0
3.0,70.0
3.0,70.0
2.75,70.0
3.5,70.0
3.0,70.0
3.75,70.0
3.0,70.0
2.75,70.0
2.75,85.0
3.0,85.0
3.25,72.0
3.5,73.0
3.0,64.0
3.25,66.0
3.25,75.0
3.25,63.0
3.25,70.0
3.5,68.0
3.75,70.0
4.0,70.0
4.0,75.0
5.0,70.0
3.0,70.0
3.0,70.0
3.5,70.0
3.75,70.0
4.0,70.0
3.5,70.0
3.5,63.0
5.0,70.0
4.0,66.0
3.25,75.0
2.75,85.0
3.75,50.0
3.75,75.0
4.0,60.0
3.0,75.0
3.5,75.0
3.0,75.0
2.5,72.0
2.75,75.0
3.0,75.0
3.5,70.0
3.75,70.0
3.5,73.0
3.25,70.0
3.25,70.0
3.5,70.0
3.75,70.0
3.5,70.0
4.0,70.0
4.0,70.0
3.75,70.0
3.25,70.0
3.25,73.0
3.5,70.0
3.5,68.0
3.75,70.0
3.5,70.0
3.75,70.0
4.0,70.0
2.75,75.0
3.25,70.0
3.5,75.0
3.25,72.0
3.75,72.0
4.0,72.0
2.75,72.0
1.75,100.0
3.75,72.0
3.25,72.0
3.25,72.0
3.5,72.0
2.5,75.0
2.75,72.0
1.75,72.0
3.0,80.0
3.0,75.0
3.25,72.0
3.75,72.0
2.75,72.0
3.75,68.0
3.75,72.0
3.75,70.0
3.75,77.0
2.5,75.0
3.0,70.0
3.25,80.0
3.5,70.0
3.0,70.0
2.5,70.0
2.5,70.0
2.75,70.0
3.5,70.0
3.5,70.0
4.0,70.0
3.25,70.0
3.5,70.0
3.75,70.0
2.75,80.0
3.5,65.0
3.75,70.0
3.25,65.0
3.0,73.0
3.25,72.0
2.75,80.0
2.75,70.0
2.75,70.0
2.75,90.0
2.75,64.0
2.75,64.0
2.75,64.0
3.5,71.0
3.5,70.0
3.25,70.0
3.5,70.0
2.75,83.0
3.0,78.0
3.5,83.0
3.5,74.0
3.5,74.0
3.5,74.0
4.0,73.0
4.0,72.0
3.75,72.0
2.75,55.0
3.0,64.0
3.0,88.0
3.5,72.0
4.0,72.0
3.25,70.0
3.25,74.0
3.5,64.0
3.5,72.0
2.5,76.0
2.5,76.0
2.5,78.0
3.25,86.0
3.5,72.0
3.25,75.0
3.75,70.0
2.75,65.0
3.0,70.0
3.0,78.0
3.0,75.0
3.5,65.0
3.25,75.0
3.5,65.0
3.0,71.0
3.5,75.0
3.75,68.0
3.0,70.0
2.75,70.0
2.75,70.0
3.0,70.0
2.75,70.0
3.5,82.0
2.75,72.0
3.5,82.0
2.75,75.0
3.5,75.0
3.0,75.0
3.5,70.0
3.75,70.0
3.5,75.0
4.0,75.0
3.25,75.0
3.75,65.0
3.5,75.0
3.25,75.0
3.5,75.0
3.5,75.0
3.5,75.0
3.75,75.0
4.0,75.0
4.0,75.0
3.5,75.0
3.25,75.0
3.0,75.0
2.75,75.0
3.0,75.0
3.0,75.0
4.0,75.0
2.5,75.0
3.75,75.0
4.0,75.0
4.0,75.0
4.0,75.0
1.5,100.0
3.0,75.0
4.0,75.0
3.25,77.0
1.5,100.0
2.75,70.0
2.75,70.0
3.5,70.0
3.75,70.0
3.75,68.0
3.75,70.0
4.0,70.0
3.0,72.0
3.25,70.0
3.5,75.0
3.5,85.0
3.0,60.0
3.25,80.0
3.5,70.0
2.75,80.0
3.25,80.0
3.25,60.0
3.0,70.0
3.0,72.0
3.5,70.0
3.5,72.0
2.75,68.0
3.25,70.0
2.75,68.0
3.25,72.0
3.5,72.0
3.25,72.0
3.25,72.0
2.5,60.0
2.5,70.0
2.5,75.0
2.5,75.0
2.75,75.0
2.25,75.0
3.5,65.0
3.0,70.0
2.0,75.0
2.0,72.0
3.0,66.0
3.5,77.0
3.25,75.0
2.5,75.0
3.25,74.0
3.5,75.0
3.75,70.0
3.25,74.0
3.75,71.0
3.75,74.0
3.75,72.0
3.5,64.0
3.5,70.0
2.75,69.0
3.25,70.0
3.5,70.0
3.75,72.0
3.0,72.0
3.75,66.0
3.25,65.0
3.5,70.0
3.5,71.0
3.75,71.0
4.0,71.0
3.25,71.0
3.5,71.0
3.5,77.0
4.0,70.0
4.0,70.0
3.0,70.0
3.25,70.0
3.5,70.0
